"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type"
-13.4858,142.8697,330.1,1.1,1,"2019-12-25",44,"Terra","MODIS",72,6.03,305.5,17.5,"D",0
-13.5016,142.8016,336.5,1.1,1,"2019-12-25",44,"Terra","MODIS",77,6.03,302.5,22.3,"D",0
-13.5307,142.8069,330,1.1,1,"2019-12-25",44,"Terra","MODIS",70,6.03,304.7,15,"D",0
-13.2258,142.2516,337.9,1.1,1.1,"2019-12-25",44,"Terra","MODIS",85,6.03,306,27,"D",0
-13.1222,143.1484,332.3,1,1,"2019-12-25",44,"Terra","MODIS",75,6.03,300.6,23.1,"D",0
-13.4766,142.8712,325.5,1.1,1,"2019-12-25",44,"Terra","MODIS",47,6.03,300.1,11.4,"D",0
-13.1189,143.1878,322.9,1,1,"2019-12-25",44,"Terra","MODIS",52,6.03,296.4,10.9,"D",0
-13.2552,143.1703,331.2,1,1,"2019-12-25",44,"Terra","MODIS",56,6.03,302.4,16.5,"D",0
-13.2643,143.1688,340.5,1,1,"2019-12-25",44,"Terra","MODIS",88,6.03,304.2,30.5,"D",0
-13.1203,143.1974,334.5,1,1,"2019-12-25",44,"Terra","MODIS",82,6.03,294.8,26.8,"D",0
-12.732,136.3133,319.4,2.9,1.6,"2019-12-25",44,"Terra","MODIS",43,6.03,294.4,29.6,"D",0
-13.555,142.1843,358.7,1.1,1.1,"2019-12-25",44,"Terra","MODIS",99,6.03,306.5,82.3,"D",0
-13.5471,142.196,330.2,1.1,1.1,"2019-12-25",44,"Terra","MODIS",74,6.03,302.2,18.4,"D",0
-13.6526,142.9397,331.6,1,1,"2019-12-25",44,"Terra","MODIS",71,6.03,302.4,18.1,"D",0
-13.2432,143.1527,332.6,1,1,"2019-12-25",44,"Terra","MODIS",79,6.03,294.2,20.4,"D",0
-13.234,143.1542,341,1,1,"2019-12-25",44,"Terra","MODIS",88,6.03,298,34.8,"D",0
-13.5361,142.1873,327.3,1.1,1.1,"2019-12-25",44,"Terra","MODIS",30,6.03,303.8,13.7,"D",0
-13.6162,142.8862,332.7,1.1,1,"2019-12-25",44,"Terra","MODIS",80,6.03,304.7,19.7,"D",0
-13.4781,142.8809,334.1,1.1,1,"2019-12-25",44,"Terra","MODIS",81,6.03,302,23.5,"D",0
-13.607,142.8876,326,1.1,1,"2019-12-25",44,"Terra","MODIS",27,6.03,301.2,10.2,"D",0
-13.2537,143.1608,344.9,1,1,"2019-12-25",44,"Terra","MODIS",91,6.03,303.6,37.6,"D",0
-13.5362,142.5347,328,1.1,1,"2019-12-25",44,"Terra","MODIS",65,6.03,305.7,13,"D",0
-13.5115,142.9152,325.3,1.1,1,"2019-12-25",44,"Terra","MODIS",57,6.03,302,11.1,"D",0
-13.5193,142.4865,325.9,1.1,1,"2019-12-25",44,"Terra","MODIS",62,6.03,302.5,11.6,"D",0
-13.1236,143.1579,321.9,1,1,"2019-12-25",44,"Terra","MODIS",60,6.03,296.3,10.4,"D",0
-13.5196,142.9176,327.9,1.1,1,"2019-12-25",44,"Terra","MODIS",58,6.03,304.8,13,"D",0
-13.5,142.7919,340.7,1.1,1,"2019-12-25",44,"Terra","MODIS",81,6.03,302.8,31.2,"D",0
-15.7154,142.866,331.1,1,1,"2019-12-25",45,"Terra","MODIS",43,6.03,309,8.5,"D",0
-15.9729,143.9748,365.8,1,1,"2019-12-25",45,"Terra","MODIS",100,6.03,309.2,85.7,"D",0
